DATE,OPEN,HIGH,LOW,CLOSE
2023-05-29,2570.0,2583.5,2523.0,2534.05
2023-05-26,2565.0,2599.95,2535.15,2544.35
2023-05-25,2440.0,2558.8,2386.65,2537.45
2023-05-24,2709.0,2750.0,2425.35,2475.6
2023-05-23,2410.9,2759.45,2400.0,2633.7
2023-05-22,2010.0,2347.0,1983.4,2326.1
2023-05-19,1888.0,1983.0,1872.1,1956.05
2023-05-18,1910.05,1924.0,1877.2,1890.0
2023-05-17,1900.0,1919.95,1857.75,1899.5
2023-05-16,1927.0,1935.0,1881.0,1889.15
2023-05-15,1959.9,1964.7,1880.0,1916.05
2023-05-12,2009.0,2010.0,1946.55,1964.7
2023-05-11,1925.0,2013.75,1910.0,1984.65
2023-05-10,1899.0,1914.9,1883.95,1892.15
2023-05-09,1900.0,1930.0,1889.1,1896.1
2023-05-08,1920.3,1926.9,1876.0,1887.5
2023-05-05,1954.8,1955.0,1903.15,1920.3
2023-05-04,1839.05,1935.0,1839.05,1911.25
2023-05-03,1919.0,1940.0,1785.35,1839.0
2023-05-02,1935.0,1966.0,1908.0,1919.85
2023-04-28,1868.05,1944.0,1857.15,1924.95
2023-04-27,1848.0,1864.95,1832.55,1853.05
2023-04-26,1854.0,1874.0,1826.4,1847.9
2023-04-25,1806.0,1913.75,1801.8,1844.6
2023-04-24,1804.0,1817.4,1775.8,1801.95
2023-04-21,1846.0,1853.25,1796.05,1803.0
2023-04-20,1855.0,1878.9,1836.85,1842.9
2023-04-19,1847.0,1877.7,1835.0,1853.85
2023-04-18,1892.0,1902.75,1830.0,1850.95
2023-04-17,1870.75,1904.9,1847.0,1878.75
2023-04-13,1855.0,1885.0,1826.05,1870.75
2023-04-12,1814.0,1858.75,1797.05,1847.25
2023-04-11,1810.0,1829.0,1792.85,1803.15
2023-04-10,1774.0,1812.7,1760.6,1797.25
2023-04-06,1705.0,1793.65,1688.15,1754.05
2023-04-05,1717.45,1737.95,1671.55,1698.0
2023-04-03,1750.45,1754.95,1695.5,1717.45
2023-03-31,1788.0,1825.0,1740.0,1750.45
2023-03-29,1602.95,1756.0,1591.1,1740.4
2023-03-28,1727.95,1733.0,1573.0,1600.85
2023-03-27,1740.65,1757.4,1682.0,1723.05
2023-03-24,1796.0,1823.0,1695.25,1740.65
2023-03-23,1794.0,1834.0,1780.0,1794.0
2023-03-22,1834.0,1850.0,1806.15,1815.4
2023-03-21,1836.95,1861.0,1804.95,1824.25
2023-03-20,1837.0,1849.95,1777.4,1804.95
2023-03-17,1901.0,1918.85,1845.0,1876.55
2023-03-16,1861.0,1875.0,1795.0,1843.8
2023-03-15,1760.9,1891.45,1728.1,1839.0
2023-03-14,1874.0,1874.85,1651.35,1738.2
2023-03-13,1917.0,1985.0,1857.4,1874.4
2023-03-10,1870.0,1940.0,1820.6,1896.2
2023-03-09,2049.8,2068.85,1905.35,1953.15
2023-03-08,2040.0,2088.0,1941.0,2039.65
2023-03-06,1966.7,2135.0,1855.0,1982.9
2023-03-03,1688.85,1905.95,1685.5,1879.5
2023-03-02,1499.9,1646.0,1407.9,1607.25
2023-03-01,1424.0,1580.0,1411.0,1564.3
2023-02-28,1145.0,1398.0,1103.75,1363.85
2023-02-27,1300.0,1313.8,1131.05,1193.5
2023-02-24,1410.0,1427.0,1261.6,1315.65
2023-02-23,1380.0,1438.0,1350.0,1382.65
2023-02-22,1535.0,1560.0,1381.2,1404.85
2023-02-21,1626.0,1644.45,1561.3,1571.1
2023-02-20,1650.0,1685.0,1560.5,1621.45
2023-02-17,1800.0,1815.85,1703.2,1722.7
2023-02-16,1820.0,1874.95,1790.0,1796.6
2023-02-15,1780.0,1824.4,1750.0,1779.1
2023-02-14,1735.0,1889.0,1611.35,1749.7
2023-02-13,1850.0,1921.7,1662.25,1717.65
2023-02-10,1769.0,1990.0,1733.15,1846.95
2023-02-09,2168.0,2168.0,1731.4,1925.7
2023-02-08,1869.85,2222.15,1840.85,2164.25
2023-02-07,1571.0,1962.7,1525.6,1802.95
2023-02-06,1575.0,1615.0,1435.2,1572.7
2023-02-03,1490.0,1679.9,1017.45,1586.8
2023-02-02,2348.85,2348.85,1494.75,1565.25
2023-02-01,2995.0,3010.75,1941.2,2135.35
2023-01-31,2980.0,3073.6,2906.0,2973.9
2023-01-30,2850.0,3037.55,2665.0,2892.85
2023-01-27,3335.0,3346.5,2712.0,2761.45
2023-01-25,3422.0,3428.0,3315.0,3388.95
